Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Ant-Man,1.0,6,0,47.05882352941176,100.0,0,1,0
Aquagirl,1.0,6,0,52.63157894736843,100.0,0,1,0
Arcee,1.0,6,0,50.0,100.0,1,1,0
Arrowette,1.0,6,0,60.0,100.0,0,1,0
Atlas,1.0,6,0,57.14285714285714,100.0,1,1,1
Atom,1.0,6,0,42.85714285714286,100.0,0,1,1
Atomic Skull,1.0,6,0,59.25925925925925,100.0,0,1,1
Azrael,1.0,5,0,58.82352941176471,100.0,0,1,0
Aztek,1.0,6,0,47.05882352941176,100.0,1,1,0
Baldrick,1.0,5,0,63.1578947368421,100.0,0,1,0
Batgirl,1.0,5,0,52.63157894736843,100.0,0,1,0
Batwing,1.0,5,0,55.55555555555556,100.0,0,1,1
Batwoman,1.0,5,0,60.0,100.0,0,1,0
Big Man,1.0,4,0,52.63157894736843,100.0,0,1,1
Black Condor,1.0,6,0,61.53846153846154,100.0,0,1,1
Black Orchid,1.0,7,0,60.86956521739131,100.0,0,1,1
Black Spider,1.0,6,0,58.33333333333333,100.0,0,1,1
Black Widow,1.0,7,0,54.54545454545454,100.0,0,1,1
Edmund Blackadder,1.0,9,0,57.14285714285714,100.0,0,1,0
Lady Blackhawk,1.0,8,0,58.06451612903225,100.0,0,1,1
Blackwing,1.0,5,0,60.0,100.0,0,1,0
Blindspot,1.0,5,0,58.82352941176471,100.0,0,1,0
Blizzard,1.0,5,0,57.14285714285714,100.0,0,1,1
Blockbuster,1.0,6,0,60.86956521739131,100.0,0,1,1
Bloodsport,1.0,7,0,50.0,100.0,0,1,0
Captain Marvel,1.0,8,0,61.53846153846154,100.0,0,1,1
Carnage,1.0,4,0,62.5,100.0,0,1,1
Cheetah,1.0,6,0,55.55555555555556,100.0,0,1,1
Chronos,1.0,5,0,60.0,100.0,1,1,0
Clayface,1.0,5,0,63.1578947368421,100.0,1,1,0
Collective Man,1.0,8,0,61.53846153846154,100.0,0,1,1
Quentin Collins,1.0,7,0,62.06896551724138,100.0,0,1,1
Commander Steel,1.0,8,0,61.53846153846154,100.0,0,1,1
Copperhead,1.0,6,0,57.14285714285714,100.0,0,1,1
Crimson Avenger,1.0,7,0,62.06896551724138,100.0,0,1,1
Crimson Dynamo,1.0,8,0,56.00000000000001,100.0,0,1,1
Crimson Fox,1.0,6,0,54.54545454545454,100.0,0,1,1
Crusher,1.0,5,0,63.1578947368421,100.0,0,1,1
Cyclone,1.0,5,0,55.55555555555556,100.0,0,1,1
Decay,1.0,4,0,53.333333333333336,100.0,0,1,1
El Diablo,1.0,6,0,55.55555555555556,100.0,0,1,1
Doctor Alchemy,1.0,7,0,58.33333333333333,100.0,0,1,1
Doctor Fate,1.0,6,0,66.66666666666667,100.0,0,1,1
Dusk,1.0,6,0,46.15384615384615,100.0,0,1,1
Firebrand,1.0,5,0,60.86956521739131,100.0,0,1,1
Firestorm,1.0,6,0,57.14285714285714,100.0,0,1,0
Rick Flag,1.0,6,0,50.0,100.0,0,1,1
Flamebird,1.0,6,0,60.0,100.0,0,1,0
Foolkiller,1.0,5,0,60.86956521739131,100.0,0,1,0
Fury,1.0,5,0,50.0,100.0,0,1,1
Ghost Rider,1.0,6,0,59.25925925925925,100.0,0,1,1
Giant-Man,1.0,6,0,57.14285714285714,100.0,0,1,0
Godiva,1.0,5,0,53.333333333333336,100.0,0,1,0
Gog,1.0,6,0,36.36363636363637,100.0,0,1,1
Golem,1.0,5,0,53.333333333333336,100.0,0,1,1
Goliath,1.0,4,0,54.54545454545454,100.0,0,1,1
Gostaham,1.0,5,0,57.14285714285714,100.0,0,1,0
Green Goblin,1.0,6,0,64.28571428571428,100.0,0,1,1
Green Lantern,1.0,6,0,60.0,100.0,0,1,1
Grizzly,1.0,6,0,50.0,100.0,0,1,1
